,timestamp,temperature,description
0,2020-12-01 00:50:00,5.0,Clear
1,2020-12-01 01:50:00,5.0,Clear
2,2020-12-01 02:50:00,4.0,Clear
3,2020-12-01 03:50:00,4.0,Clear
4,2020-12-01 04:50:00,4.0,Clear
5,2020-12-01 05:50:00,3.0,Clear
6,2020-12-01 06:50:00,2.0,Clear
7,2020-12-01 07:50:00,2.0,Passing clouds
8,2020-12-01 08:50:00,3.0,Sunny
9,2020-12-01 09:50:00,5.0,Sunny
10,2020-12-01 10:50:00,6.0,Scattered clouds
11,2020-12-01 11:50:00,7.0,Passing clouds
12,2020-12-01 12:50:00,7.0,Sunny
13,2020-12-01 13:50:00,8.0,Passing clouds
14,2020-12-01 14:50:00,7.0,Scattered clouds
15,2020-12-01 15:50:00,6.0,Passing clouds
16,2020-12-01 16:50:00,4.0,Passing clouds
17,2020-12-01 18:50:00,3.0,Passing clouds
18,2020-12-01 19:50:00,2.0,Passing clouds
19,2020-12-01 20:50:00,3.0,Clear
20,2020-12-01 21:50:00,3.0,Partly cloudy
21,2020-12-01 22:50:00,2.0,Passing clouds
22,2020-12-01 23:50:00,1.0,Passing clouds
23,2020-12-02 00:50:00,3.0,Overcast
24,2020-12-02 01:50:00,3.0,Overcast
25,2020-12-02 02:50:00,3.0,Overcast
26,2020-12-02 03:50:00,3.0,Passing clouds
27,2020-12-02 04:50:00,2.0,Overcast
28,2020-12-02 05:50:00,3.0,Passing clouds
29,2020-12-02 06:50:00,3.0,Clear
30,2020-12-02 07:50:00,3.0,Sunny
31,2020-12-02 08:50:00,4.0,Sunny
32,2020-12-02 09:50:00,4.0,Sunny
33,2020-12-02 10:50:00,5.0,Partly sunny
34,2020-12-02 11:50:00,6.0,Partly sunny
35,2020-12-02 12:50:00,6.0,Broken clouds
36,2020-12-02 13:50:00,6.0,Mostly cloudy
37,2020-12-02 14:50:00,7.0,Mostly cloudy
38,2020-12-02 15:50:00,7.0,Partly sunny
39,2020-12-02 16:50:00,6.0,Mostly cloudy
40,2020-12-02 17:15:00,6.0,Passing clouds
41,2020-12-02 17:50:00,6.0,Passing clouds
42,2020-12-02 18:27:00,6.0,Partly cloudy
43,2020-12-02 18:50:00,6.0,Passing clouds
44,2020-12-02 19:50:00,6.0,Fog
45,2020-12-02 20:50:00,6.0,Passing clouds
46,2020-12-02 21:50:00,5.0,Passing clouds
47,2020-12-02 22:50:00,5.0,Passing clouds
48,2020-12-02 23:50:00,4.0,Partly cloudy
49,2020-12-03 00:50:00,4.0,Overcast
50,2020-12-03 01:50:00,4.0,Overcast
51,2020-12-03 02:50:00,4.0,Overcast
52,2020-12-03 03:50:00,4.0,Overcast
53,2020-12-03 04:50:00,4.0,Partly cloudy
54,2020-12-03 05:50:00,4.0,Passing clouds
55,2020-12-03 06:50:00,5.0,Light rain. Passing clouds
56,2020-12-03 07:50:00,5.0,Light rain. Mostly cloudy
57,2020-12-03 08:50:00,5.0,Light rain. Mostly cloudy
58,2020-12-03 09:50:00,6.0,Light rain. Mostly cloudy
59,2020-12-03 10:50:00,6.0,Rain. Mostly cloudy
60,2020-12-03 11:50:00,7.0,Light rain. More clouds than sun
61,2020-12-03 12:50:00,7.0,Light rain. Cloudy
62,2020-12-03 13:50:00,7.0,Rain. Mostly cloudy
63,2020-12-03 14:27:00,7.0,Drizzle. Mostly cloudy
64,2020-12-03 14:50:00,7.0,Heavy rain. Mostly cloudy
65,2020-12-03 15:50:00,6.0,Heavy rain. More clouds than sun
66,2020-12-03 16:27:00,6.0,Rain. Passing clouds
67,2020-12-03 16:50:00,5.0,Partly cloudy
68,2020-12-03 17:50:00,5.0,Passing clouds
69,2020-12-03 18:50:00,5.0,Partly cloudy
70,2020-12-03 19:19:00,5.0,Passing clouds
71,2020-12-03 19:50:00,4.0,Partly cloudy
72,2020-12-03 20:50:00,4.0,Partly cloudy
73,2020-12-03 21:50:00,4.0,Passing clouds
74,2020-12-03 22:50:00,4.0,Overcast
75,2020-12-03 23:50:00,4.0,Overcast
76,2020-12-04 00:50:00,4.0,Passing clouds
77,2020-12-04 01:50:00,4.0,Passing clouds
78,2020-12-04 02:50:00,4.0,Passing clouds
79,2020-12-04 03:50:00,4.0,Passing clouds
80,2020-12-04 04:50:00,3.0,Low clouds
81,2020-12-04 05:50:00,3.0,Passing clouds
82,2020-12-04 06:50:00,3.0,Overcast
83,2020-12-04 07:50:00,3.0,Overcast
84,2020-12-04 08:37:00,3.0,Drizzle. Low clouds
85,2020-12-04 08:50:00,3.0,Drizzle. Cloudy
86,2020-12-04 09:50:00,4.0,Drizzle. Broken clouds
87,2020-12-04 10:50:00,4.0,Partly sunny
88,2020-12-04 11:13:00,4.0,Partly sunny
89,2020-12-04 11:50:00,5.0,More clouds than sun
90,2020-12-04 12:50:00,5.0,Partly sunny
91,2020-12-04 13:50:00,6.0,Sunny
92,2020-12-04 14:50:00,5.0,Sunny
93,2020-12-04 15:50:00,5.0,Clear
94,2020-12-04 16:50:00,5.0,Clear
95,2020-12-04 17:50:00,5.0,Clear
96,2020-12-04 18:50:00,4.0,Clear
97,2020-12-04 19:50:00,4.0,Clear
98,2020-12-04 20:50:00,4.0,Clear
99,2020-12-04 21:50:00,4.0,Clear
100,2020-12-04 22:50:00,4.0,Overcast
101,2020-12-04 23:50:00,4.0,Overcast
102,2020-12-05 00:50:00,4.0,Overcast
103,2020-12-05 01:50:00,4.0,Overcast
104,2020-12-05 02:50:00,4.0,Passing clouds
105,2020-12-05 03:50:00,5.0,Partly cloudy
106,2020-12-05 04:50:00,5.0,Passing clouds
107,2020-12-05 05:50:00,5.0,Overcast
108,2020-12-05 06:20:00,4.0,Passing clouds
109,2020-12-05 06:50:00,4.0,Passing clouds
110,2020-12-05 07:50:00,4.0,Scattered clouds
111,2020-12-05 08:50:00,5.0,Partly sunny
112,2020-12-05 09:50:00,7.0,Sunny
113,2020-12-05 10:50:00,8.0,Passing clouds
114,2020-12-05 11:50:00,9.0,Passing clouds
115,2020-12-05 12:50:00,9.0,Passing clouds
116,2020-12-05 13:50:00,7.0,Passing clouds
117,2020-12-05 14:50:00,7.0,Passing clouds
118,2020-12-05 15:50:00,7.0,Passing clouds
119,2020-12-05 16:50:00,5.0,Passing clouds
120,2020-12-05 17:50:00,4.0,Passing clouds
121,2020-12-05 18:50:00,3.0,Clear
122,2020-12-05 19:50:00,4.0,Passing clouds
123,2020-12-05 20:50:00,3.0,Passing clouds
124,2020-12-05 21:50:00,3.0,Overcast
125,2020-12-05 22:50:00,3.0,Partly cloudy
126,2020-12-05 23:50:00,3.0,Overcast
127,2020-12-06 00:50:00,3.0,Partly cloudy
128,2020-12-06 01:50:00,3.0,Passing clouds
129,2020-12-06 02:50:00,2.0,Passing clouds
130,2020-12-06 03:50:00,2.0,Partly cloudy
131,2020-12-06 04:50:00,2.0,Passing clouds
132,2020-12-06 05:50:00,2.0,Passing clouds
133,2020-12-06 06:50:00,2.0,Fog
134,2020-12-06 07:50:00,2.0,Fog
135,2020-12-06 08:37:00,2.0,Broken clouds
136,2020-12-06 08:50:00,2.0,Partly sunny
137,2020-12-06 09:50:00,2.0,Partly sunny
138,2020-12-06 10:50:00,3.0,Light rain. Partly sunny
139,2020-12-06 11:50:00,3.0,Partly sunny
140,2020-12-06 12:50:00,4.0,Scattered clouds
141,2020-12-06 13:50:00,5.0,Passing clouds
142,2020-12-06 14:50:00,5.0,Passing clouds
143,2020-12-06 15:50:00,3.0,Passing clouds
144,2020-12-06 16:50:00,2.0,Passing clouds
145,2020-12-06 17:50:00,1.0,Partly cloudy
146,2020-12-06 18:50:00,1.0,Low clouds
147,2020-12-06 19:50:00,1.0,Low clouds
148,2020-12-06 20:50:00,1.0,Low clouds
149,2020-12-06 21:50:00,1.0,Low clouds
150,2020-12-06 22:50:00,1.0,Low clouds
151,2020-12-06 23:50:00,1.0,Dense fog
152,2020-12-07 00:50:00,0.0,Dense fog
153,2020-12-07 01:50:00,0.0,Dense fog
154,2020-12-07 02:50:00,0.0,Dense fog
155,2020-12-07 03:50:00,0.0,Dense fog
156,2020-12-07 04:50:00,0.0,Low clouds
157,2020-12-07 05:50:00,0.0,Ice fog
158,2020-12-07 06:50:00,0.0,Ice fog
159,2020-12-07 07:50:00,0.0,Ice fog
160,2020-12-07 08:20:00,0.0,Ice fog
161,2020-12-07 08:50:00,0.0,Ice fog
162,2020-12-07 09:20:00,0.0,Ice fog
163,2020-12-07 09:50:00,0.0,Fog
164,2020-12-07 10:20:00,0.0,Fog
165,2020-12-07 10:50:00,0.0,Fog
166,2020-12-07 11:20:00,1.0,Fog
167,2020-12-07 11:50:00,1.0,Fog
168,2020-12-07 12:07:00,1.0,Fog
169,2020-12-07 12:20:00,1.0,Fog
170,2020-12-07 12:50:00,1.0,Fog
171,2020-12-07 13:20:00,1.0,Fog
172,2020-12-07 13:50:00,1.0,Fog
173,2020-12-07 14:20:00,2.0,Fog
174,2020-12-07 15:20:00,2.0,Fog
175,2020-12-07 15:50:00,2.0,Fog
176,2020-12-07 16:22:00,2.0,Fog
177,2020-12-07 16:50:00,2.0,Fog
178,2020-12-07 17:50:00,2.0,Fog
179,2020-12-07 18:21:00,2.0,Fog
180,2020-12-07 18:50:00,2.0,Light rain. Mostly cloudy
181,2020-12-07 19:50:00,2.0,Partly cloudy
182,2020-12-07 20:50:00,2.0,Partly cloudy
183,2020-12-07 21:50:00,2.0,Passing clouds
184,2020-12-07 22:50:00,2.0,Partly cloudy
185,2020-12-07 23:50:00,1.0,Partly cloudy
186,2020-12-08 00:50:00,1.0,Passing clouds
187,2020-12-08 01:50:00,0.0,Passing clouds
188,2020-12-08 02:50:00,0.0,Passing clouds
189,2020-12-08 03:50:00,0.0,Passing clouds
190,2020-12-08 04:50:00,-1.0,Partly cloudy
191,2020-12-08 05:50:00,-1.0,Ice fog
192,2020-12-08 06:50:00,-1.0,Ice fog
193,2020-12-08 07:50:00,-1.0,Ice fog
194,2020-12-08 08:22:00,-1.0,Ice fog
195,2020-12-08 08:50:00,-1.0,Ice fog
196,2020-12-08 09:20:00,0.0,Ice fog
197,2020-12-08 09:50:00,0.0,Partly sunny
198,2020-12-08 10:20:00,0.0,Fog
199,2020-12-08 10:30:00,0.0,Ice fog
200,2020-12-08 10:50:00,1.0,Fog
201,2020-12-08 11:20:00,1.0,Fog
202,2020-12-08 11:37:00,1.0,Fog
203,2020-12-08 11:50:00,1.0,Fog
204,2020-12-08 12:24:00,2.0,Fog
205,2020-12-08 12:50:00,2.0,Fog
206,2020-12-08 13:20:00,3.0,Fog
207,2020-12-08 13:50:00,4.0,Scattered clouds
208,2020-12-08 14:20:00,4.0,Scattered clouds
209,2020-12-08 14:50:00,4.0,Scattered clouds
210,2020-12-08 15:50:00,2.0,Passing clouds
211,2020-12-08 16:12:00,2.0,Fog
212,2020-12-08 16:26:00,2.0,Fog
213,2020-12-08 16:50:00,1.0,Fog
214,2020-12-08 17:06:00,0.0,Ice fog
215,2020-12-08 17:50:00,0.0,Ice fog
216,2020-12-08 18:24:00,0.0,Ice fog
217,2020-12-08 18:50:00,0.0,Ice fog
218,2020-12-08 19:24:00,1.0,Fog
219,2020-12-08 19:50:00,1.0,Fog
220,2020-12-08 20:50:00,3.0,Light rain. Mostly cloudy
221,2020-12-08 21:50:00,3.0,Light rain. Overcast
222,2020-12-08 22:22:00,3.0,Light rain. Mostly cloudy
223,2020-12-08 22:50:00,4.0,Light rain. Mostly cloudy
224,2020-12-08 23:21:00,4.0,Light rain. Mostly cloudy
225,2020-12-08 23:38:00,4.0,Drizzle. Mostly cloudy
226,2020-12-08 23:50:00,4.0,Partly cloudy
227,2020-12-09 00:50:00,4.0,Passing clouds
228,2020-12-09 01:50:00,5.0,Partly cloudy
229,2020-12-09 02:50:00,5.0,Passing clouds
230,2020-12-09 03:50:00,5.0,Passing clouds
231,2020-12-09 04:50:00,5.0,Overcast
232,2020-12-09 05:50:00,5.0,Passing clouds
233,2020-12-09 06:50:00,5.0,Partly cloudy
234,2020-12-09 07:20:00,5.0,Passing clouds
235,2020-12-09 07:50:00,5.0,Passing clouds
236,2020-12-09 08:20:00,5.0,Broken clouds
237,2020-12-09 08:50:00,5.0,Partly sunny
238,2020-12-09 09:20:00,5.0,Partly sunny
239,2020-12-09 09:50:00,5.0,Partly sunny
240,2020-12-09 10:22:00,6.0,Partly sunny
241,2020-12-09 10:50:00,6.0,Partly sunny
242,2020-12-09 11:20:00,6.0,Partly sunny
243,2020-12-09 11:50:00,6.0,Sunny
244,2020-12-09 12:50:00,7.0,Sunny
245,2020-12-09 13:50:00,7.0,Sunny
246,2020-12-09 14:21:00,6.0,Partly sunny
247,2020-12-09 14:50:00,6.0,Partly sunny
248,2020-12-09 15:25:00,6.0,Partly sunny
249,2020-12-09 15:50:00,6.0,Clear
250,2020-12-09 16:50:00,5.0,Clear
251,2020-12-09 17:22:00,5.0,Clear
252,2020-12-09 17:50:00,5.0,Clear
253,2020-12-09 18:23:00,5.0,Clear
254,2020-12-09 18:50:00,5.0,Clear
255,2020-12-09 19:24:00,5.0,Clear
256,2020-12-09 19:50:00,5.0,Clear
257,2020-12-09 20:50:00,5.0,Clear
258,2020-12-09 21:21:00,5.0,Clear
259,2020-12-09 21:50:00,5.0,Clear
260,2020-12-09 22:24:00,6.0,Clear
261,2020-12-09 22:50:00,6.0,Clear
262,2020-12-09 23:50:00,6.0,Clear
263,2020-12-10 00:50:00,6.0,Passing clouds
264,2020-12-10 01:50:00,6.0,Overcast
265,2020-12-10 02:50:00,7.0,Overcast
266,2020-12-10 03:50:00,7.0,Overcast
267,2020-12-10 04:50:00,7.0,Mostly cloudy
268,2020-12-10 05:50:00,6.0,Passing clouds
269,2020-12-10 06:50:00,7.0,Partly cloudy
270,2020-12-10 07:50:00,7.0,Partly cloudy
271,2020-12-10 08:50:00,7.0,Broken clouds
272,2020-12-10 09:50:00,7.0,Broken clouds
273,2020-12-10 10:50:00,7.0,Drizzle. More clouds than sun
274,2020-12-10 11:50:00,7.0,Broken clouds
275,2020-12-10 12:50:00,7.0,Broken clouds
276,2020-12-10 13:50:00,7.0,Drizzle. Mostly cloudy
277,2020-12-10 14:50:00,7.0,Partly sunny
278,2020-12-10 15:50:00,7.0,Mostly cloudy
279,2020-12-10 16:19:00,7.0,Mostly cloudy
280,2020-12-10 16:50:00,7.0,Drizzle. Overcast
281,2020-12-10 17:20:00,7.0,Drizzle. Mostly cloudy
282,2020-12-10 17:50:00,7.0,Mostly cloudy
283,2020-12-10 18:20:00,7.0,Light rain. Overcast
284,2020-12-10 18:50:00,7.0,Light rain. Mostly cloudy
285,2020-12-10 19:50:00,7.0,Partly cloudy
286,2020-12-10 20:50:00,7.0,Passing clouds
287,2020-12-10 21:50:00,7.0,Passing clouds
288,2020-12-10 22:50:00,7.0,Passing clouds
289,2020-12-10 23:50:00,7.0,Passing clouds
290,2020-12-11 00:50:00,8.0,Passing clouds
291,2020-12-11 01:50:00,8.0,Partly cloudy
292,2020-12-11 02:50:00,9.0,Low clouds
293,2020-12-11 03:50:00,9.0,Partly cloudy
294,2020-12-11 04:50:00,9.0,Passing clouds
295,2020-12-11 05:50:00,9.0,Partly cloudy
296,2020-12-11 06:50:00,9.0,Passing clouds
297,2020-12-11 07:50:00,9.0,Passing clouds
298,2020-12-11 08:20:00,8.0,Fog
299,2020-12-11 08:50:00,9.0,Fog
300,2020-12-11 09:11:00,9.0,Fog
301,2020-12-11 09:20:00,9.0,Fog
302,2020-12-11 09:50:00,9.0,Fog
303,2020-12-11 10:09:00,9.0,Fog
304,2020-12-11 10:20:00,9.0,Fog
305,2020-12-11 10:50:00,10.0,Fog
306,2020-12-11 11:20:00,10.0,Fog
