month,measure value,daylight hours,average temperature
Apr-20,8650.0,13.43,11.64
Aug-20,8515.0,14.0,19.35
Dec-19,9370.0,7.23,6.79
Dec-20,9050.0,7.23,5.87
Feb-20,9965.0,11.95,12.363636363636365
Feb-21,8930.0,9.5,5.93
Jan-20,9785.0,7.94,7.33
Jan-21,8845.0,8.0,4.13
Jul-20,8425.0,15.61,17.56
Jun-20,8350.0,16.0,16.6
Mar-20,9585.0,11.42,7.29
Mar-21,8420.0,11.39,7.66
May-20,8505.0,15.19,14.33
Nov-20,9080.0,8.4,9.09
Oct-20,8820.0,10.13,11.37
Sep-20,8665.0,12.1,15.57
