measure value,month,daylight hours,average temperature
33435.0,Apr-20,13.43,11.64
33435.0,May-20,15.19,14.33
35345.0,Jun-20,16.0,16.6
35580.0,Jul-20,15.61,17.56
35485.0,Aug-20,14.0,19.35
35800.0,Sep-20,12.1,15.57
36035.0,Oct-20,10.13,11.37
36405.0,Nov-20,8.4,9.09
36435.0,Dec-20,7.23,5.87
35775.0,Jan-21,8.0,4.13
35980.0,Feb-21,9.5,5.93
36900.0,Mar-21,11.39,7.66
37265.0,Apr-21,13.43,7.23
37940.0,May-21,15.16,11.29
38530.0,Jun-21,16.0,17.43
38600.0,Jul-21,15.61,18.82
38135.0,Aug-21,14.03,16.81
38060.0,Sep-21,12.1,16.9
38790.0,Oct-21,10.16,12.65
39235.0,Nov-21,8.4,7.72
39160.0,Dec-21,7.23,7.66
