month,measure value,daylight hours,average temperature
Apr-20,65735.0,13.43,11.64
Apr-21,73460.0,13.43,7.23
Aug-20,69815.0,14.0,19.35
Aug-21,74760.0,14.03,16.81
Dec-20,72380.0,7.23,5.87
Dec-21,76335.0,7.23,7.66
Feb-21,71545.0,9.5,5.93
Jan-21,71055.0,8.0,4.13
Jul-20,69685.0,15.61,17.56
Jul-21,75195.0,15.61,18.82
Jun-20,69075.0,16.0,16.6
Jun-21,74795.0,16.0,17.43
Mar-21,73200.0,11.39,7.66
May-20,65135.0,15.19,14.33
May-21,74465.0,15.16,11.29
Nov-20,72290.0,8.4,9.09
Nov-21,76875.0,8.4,7.72
Oct-20,71320.0,10.13,11.37
Oct-21,75675.0,10.16,12.65
Sep-20,70270.0,12.1,15.57
Sep-21,75110.0,12.1,16.9
