Quarter,London,North East,North West,East Midlands,West Midlands,East of England,South East,South West,Yorkshire and The Humber,England,Wales
Q1,174.0,96.0,298.0,156.0,226.0,146.0,248.0,147.0,193.0,1684.0,123.0
Q2,193.0,147.0,293.0,134.0,208.0,137.0,230.0,163.0,197.0,1702.0,107.0
Q3,169.0,139.0,298.0,154.0,213.0,136.0,240.0,187.0,199.0,1735.0,100.0
Q4,199.0,139.0,321.0,168.0,246.0,149.0,268.0,152.0,211.0,1853.0,108.0
