Date,Average Temperature
2019-03-31,6.86
2019-06-30,12.92
2019-09-30,17.84
2019-12-31,8.38
2020-03-31,7.31
2020-06-30,14.19
2020-09-30,17.51
2020-12-31,8.77
2021-03-31,5.91
2021-06-30,11.98
2021-09-30,17.51
2021-12-31,9.36
