Date,Low (in Celsius),High (in Celcius),Average Temperature,weather_desc,daylight_hours,daylight_mins,daylight_sec
2019-01-01,6.25,9.25,7.75,Overcast.,7.0,55.0,44.0
2019-01-02,3.5,5.0,4.25,Overcast.,7.0,56.0,55.0
2019-01-03,4.0,4.5,4.25,Overcast.,7.0,58.0,12.0
2019-01-04,1.5,3.25,2.375,Overcast.,7.0,59.0,34.0
2019-01-05,4.25,4.25,4.25,Overcast.,8.0,1.0,2.0
2019-01-06,6.0,8.0,7.0,Overcast.,8.0,2.0,36.0
2019-01-07,8.5,10.0,9.25,Overcast.,8.0,4.0,16.0
2019-01-08,5.0,7.25,6.125,Passing clouds.,8.0,6.0,1.0
2019-01-09,2.5,4.25,3.375,Passing clouds.,8.0,7.0,52.0
2019-01-10,2.5,4.25,3.375,Broken clouds.,8.0,9.0,48.0
2019-01-11,5.75,7.5,6.625,Partly sunny.,8.0,11.0,49.0
2019-01-12,8.25,9.75,9.0,Partly sunny.,8.0,13.0,54.0
2019-01-13,10.0,11.25,10.625,Passing clouds.,8.0,16.0,5.0
2019-01-14,6.5,8.5,7.5,Passing clouds.,8.0,18.0,21.0
2019-01-15,5.75,7.75,6.75,Broken clouds.,8.0,20.0,41.0
2019-01-16,6.25,8.0,7.125,Clear.,8.0,23.0,6.0
2019-01-17,1.25,3.5,2.375,Passing clouds.,8.0,25.0,35.0
2019-01-18,0.5,3.75,2.125,Partly sunny.,8.0,28.0,8.0
2019-01-19,3.0,5.0,4.0,Passing clouds.,8.0,30.0,46.0
2019-01-20,-1.0,2.0,0.5,Passing clouds.,8.0,33.0,27.0
2019-01-21,0.0,2.75,1.375,Partly sunny.,8.0,36.0,12.0
2019-01-22,0.5,4.25,2.375,Light rain. Partly sunny.,8.0,39.0,1.0
2019-01-23,-0.5,1.25,0.375,Low clouds.,8.0,41.0,54.0
2019-01-24,-0.25,1.75,0.75,Overcast.,8.0,44.0,50.0
2019-01-25,6.0,9.0,7.5,Fog.,8.0,47.0,49.0
2019-01-26,8.0,9.0,8.5,Broken clouds.,8.0,50.0,51.0
2019-01-27,4.25,6.5,5.375,Passing clouds.,8.0,53.0,57.0
2019-01-28,0.5,3.5,2.0,Clear.,8.0,57.0,5.0
2019-01-29,0.5,3.25,1.875,Passing clouds.,9.0,0.0,17.0
2019-01-30,-2.0,2.75,0.375,Passing clouds.,9.0,3.0,31.0
2019-01-31,-2.25,1.25,-0.5,Clear.,9.0,6.0,47.0
2019-02-01,1.0,1.75,1.375,Light rain. Broken clouds.,9.0,10.0,6.0
2019-02-02,1.25,3.5,2.375,Passing clouds.,9.0,13.0,28.0
2019-02-03,0.25,4.25,2.25,Sunny.,9.0,16.0,51.0
2019-02-04,5.5,8.0,6.75,Passing clouds.,9.0,20.0,17.0
2019-02-05,5.75,7.75,6.75,Low clouds.,9.0,23.0,45.0
2019-02-06,8.25,9.75,9.0,Broken clouds.,9.0,27.0,15.0
2019-02-07,6.75,8.75,7.75,Passing clouds.,9.0,30.0,47.0
2019-02-08,8.5,9.75,9.125,Light rain. Mostly cloudy.,9.0,34.0,20.0
2019-02-09,7.5,8.75,8.125,Passing clouds.,9.0,37.0,56.0
2019-02-10,5.0,6.5,5.75,Passing clouds.,9.0,41.0,32.0
2019-02-11,1.75,7.0,4.375,Passing clouds.,9.0,45.0,11.0
2019-02-12,3.0,7.5,5.25,Broken clouds.,9.0,48.0,50.0
2019-02-13,5.75,9.5,7.625,Partly sunny.,9.0,52.0,32.0
2019-02-14,1.0,8.75,4.875,Clear.,9.0,56.0,14.0
2019-02-15,2.0,9.0,5.5,Clear.,9.0,59.0,58.0
2019-02-16,7.25,9.75,8.5,Broken clouds.,10.0,3.0,42.0
2019-02-17,6.75,11.5,9.125,Clear.,10.0,7.0,28.0
2019-02-18,6.25,8.75,7.5,Broken clouds.,10.0,11.0,15.0
2019-02-19,5.0,8.5,6.75,Clear.,10.0,15.0,3.0
2019-02-20,7.75,10.0,8.875,Overcast.,10.0,18.0,51.0
2019-02-21,8.75,11.5,10.125,Clear.,10.0,22.0,41.0
2019-02-22,7.75,11.25,9.5,Clear.,10.0,26.0,31.0
2019-02-23,7.75,13.0,10.375,Clear.,10.0,30.0,22.0
2019-02-24,3.75,11.25,7.5,Clear.,10.0,34.0,14.0
2019-02-25,4.0,12.5,8.25,Clear.,10.0,38.0,7.0
2019-02-26,4.75,13.5,9.125,Clear.,10.0,42.0,0.0
2019-02-27,4.5,12.0,8.25,Clear.,10.0,45.0,54.0
2019-02-28,7.25,9.25,8.25,Broken clouds.,10.0,49.0,48.0
2019-03-01,8.5,10.0,9.25,Overcast.,10.0,53.0,43.0
2019-03-02,10.0,12.0,11.0,Broken clouds.,10.0,57.0,38.0
2019-03-03,9.5,11.75,10.625,Passing clouds.,11.0,1.0,33.0
2019-03-04,4.5,9.0,6.75,Partly sunny.,11.0,5.0,29.0
2019-03-05,6.0,9.25,7.625,Passing clouds.,11.0,9.0,26.0
